text,verb,explanation,madarian,romen,ro_correct,hanzi,han_correct,page,description,toggle
Abattre,va,Tuer.Abattre un bœuf.,宰牛场,sèh,,殺,,2,,TRUE
Abattre,va,S’Abattre(tomber.),突然倒下，突然摔倒,tih ’tao,,跌倒,,2,,TRUE
Abattre,va,S’Abattre(tomber.),突然倒下，突然摔倒,’tang ken deû,,打跟頭,,2,,TRUE
Abattre,va,(en parlant d’un oisean).,击落,loh ’hao lai,,落下來,,2,,TRUE
Abattu,pp. et adj.,(air).,垂头丧气的,t‘è hieng’,,坍興,,2,,TRUE
Abcès,sm,sm.,脓疮,ts‘aong,,瘡,,2,,TRUE
Abdiquer,va,,让位,gnang’ wei’,,讓位,,2,,TRUE
Abdomen,sn,,肚子,dou’ bi,,肚皮,,2,待定 肚聲調,TRUE
Abeille,sf,,蜜蜂,mih fong,,蜜蜂,,2,,TRUE
Aberration,sf,,曲解，谬误，迷惑,dou’ ts‘ouo ts‘u’,,大差處,,2,,TRUE
Aberration,sf,astr,<天文学>光行差,’koang hang ts‘ouo’,,光行錯,,2,,TRUE
Abêti,adj,,呆笨,foen mi ’tsé，fèh doh ’li,,昏迷者，發踱裏,,2,,TRUE
Abhorrer,va,,厌恶，鄙弃，憎恨,zéh fen yé’ ou’,,十分厭惡,,2,,TRUE
Abîme,sm,,深渊,sen dé,,深潭,深窞,2,,TRUE
Abîmer,va,(gâter).,损害，毁坏,long’ wa’,,弄壞,,2,,TRUE
Abîmer,va,(gâter).,损害，毁坏,tsao t‘èh,,糟塌,,2,原作“蹧塌”,TRUE
Abîmer,va,S’Abîmer(être englouti).,沉没,zen méh,,沉没,,2,,TRUE
Abject,adj,,卑鄙，下流，下贱,ti wei gnen,,低微人,,2,待定 微,TRUE
Abject,adj,,卑鄙，下流，下贱,’ti ’hao deû gnen,,底下頭人,,2,,TRUE
Abject,adj,,卑鄙，下流，下贱,pei zié’ ke’ gnen,,卑賤个人,,2,,TRUE
Abjurer,va,,背弃（宗教），放弃（主张）,k‘i’ ziéh,,棄絶,,2,,TRUE
Ablution,,,洗礼，净身,zing’,,净,,2,,TRUE
Abnégation,,(montrer de l’Abnégation).,牺牲，忘我，克己,k‘eh ’ki,,克己,,2,,TRUE
Abnégation,,(montrer de l’Abnégation).,牺牲，忘我，克己,véh kou’ ze’ ka,,勿顧自家,,2,,TRUE
Abois,,(aux).sm.pl.,陷于绝境,ghieh deû di’ bou,ghieh deû di’ bou’,極頭地步,,2,,TRUE
Abolir,va,,废除，撤销,zu t‘éh,,除脱,,2,,TRUE
Abolir,va,,废除，撤销,siao miéh,,消滅,,2,,TRUE
Abolir,va,,废除，撤销,tsiao miéh,,剿滅,,2,待定,TRUE
Abolir,va,,废除，撤销,kah t‘èh,,革脱,,2,,TRUE
Abominable,adj,,讨厌的，可憎的，丑恶的,tsen ’k‘o ou’ ke’,,真可惡个,,2,,TRUE
Abondance,sf,,丰富，富足,zôh gné,,熟年,,2,,TRUE
Abondance,sf,Année d’Abondance,好丰年,’h‘ao gné zeng,,好年成,,2,,TRUE
Abondance,sf,Être dans l’Abondance,生活丰衣足食,fou’ tsôh ’yeû yu,,富足有餘,,3,,TRUE
Abondance,sf,Être dans l’Abondance,生活丰衣足食,yong’ véh wé,,用勿完,,3,,TRUE
Abondant,adj,,丰富的，富裕的，肥沃的,fong heû,fong ’heû,豐厚,,3,待定 厚聲調,TRUE
Abonder,vn,,充裕，丰富,fou’ tsôh,,富足,,3,,TRUE
Abonder,vn,Abonder ds le sens de qqn,完全同意他人意见,zen’ zong biéh gnen i’ kié’,,順從别人意見,,3,法语错误。qqn应为qn。,TRUE
Abonnés,sm,Combien as-tu d’Abonné?(barbier).,你有多少预约者？(剃须匠),nong’ pao deû pao ’ki ’h‘ao？,,儂包頭包幾好,,3,,TRUE
Abord,loc.adv,(d’).,开始，起初,sié,,先,,3,,TRUE
Abord,loc.adv,Tout d’abord.,首先,’k‘i deû,,起頭,,3,,TRUE
Abord,loc.adv,De prime Abord.,从最初起,taong ts‘ou,,當初,,3,,TRUE
Abordable,adj,,平易近人,wou k‘i’,,和氣,,3,,TRUE
Abordable,adj,,平易近人,’h‘ao bah wo’,,好白話,,3,,TRUE
Abordage,,(2 bateaux ont sombré ds un).,两艘船相撞沉没,’liang tsah zé zaong’ zen ’la ’tsé,,兩隻船撞沉拉者,,3,,TRUE
Aborder,va,,撞到，上前与他攀谈,zaong’ zah，wei’ zah i,,撞着，會着伊,,3,,TRUE
Aborder,va,Aborder vn. Aborder au port.,靠岸,tao’ ’mô deû,,到碼頭,,3,,TRUE
Aborder,va,Aborder vn. Aborder au port.,靠岸,ding zé,,停船,,3,,TRUE
Aborder,va,Planche qui sert à Aborder.,(上下船用的)跳板,t‘iao ’pè,t‘iao’ ’pè,跳板,,3,,TRUE
Aborigène,sm,,土著，本地人,’pen di’ gnen,,本地人,,3,,TRUE
Abortif,adj,(remède).,堕胎药,tang t‘ai ke’ yah,’tang t‘ai ke’ yah,打胎个藥,,3,,TRUE
Aboucher,vr,(s’).,会谈，联系,siang saong,,相商,,3,,TRUE
Aboucher,vr,(s’).,会谈，联系,mié’ dè’,mié’ dè,面談,,3,,TRUE
Abouter,va,,接合，对接,tei’ ’zaong,,對上,,3,待定 上聲調,TRUE
Aboutir,va,(chemin).,通向，通到,tao’,,到,,3,,TRUE
Aboutir,va,(chemin).,通向，通到,t‘ong,,通,,3,,TRUE
Aboutir,va,Aboutir(affaire).,获得成功,ze’ ’t‘i zeng kong ke’,,事體成功个,,3,,TRUE
Aboutir,va,Aboutir(travail)v.g. impossible Aboutir.,不可能达到,long’ véh zeng kong,,弄勿成功,,3,,TRUE
Aboutir,va,Aboutir(abcès).,脓肿破裂,p‘ou’ ’tsé,,破者,,3,,TRUE
Aboutir,va,Ne pas Aboutir à acheter.,买不到,’ma véh t‘éh,,買勿着,,3,,TRUE
Aboutir,va,Ne pas Aboutirà vendre.,卖不掉,ma’ véh t‘éh,,賣勿脱,,3,,TRUE
Aboyer,vn,,狗叫,’keû kiao’,,狗叫,,3,,TRUE
Aboyer,vn,,狗叫,’keû ’ngao,,狗咬,,3,,TRUE
Abrégé,sm,,简述，摘录，缩写本,kié bié’,’kié bié’,簡便,,3,連讀,TRUE
Abréger.,,va.Résumer.,删节，节略，摘要,ts‘euh yao’,,撮要,,3,,TRUE
Abréger.,,Qui manque de  piété filiable Abréger ses jours.,不孝之人短寿,véh hiao’ ke’ gnen ’teu zeû’,,勿孝个人短壽,,3,,TRUE
Abréger.,,Épargner;Abréger la besogne.,节省；省事,’sang,,省,,3,,TRUE
Abréger.,,Épargner;Abréger la besogne.,节省；省事,’sang ze’,,省事,,3,,TRUE
Abreuver,va,,释放牲畜饮水,fang’ tsong sang k‘ieh ’se,faong’ tsong sang k‘ieh ’se,放中牲吃水,,3,,TRUE
Abréviation,sf,,略语，略词，缩写,’siao ’sia,,小寫,,3,,TRUE
Abri,sm,sm.[chercher un],藏身之处,zaong sen tse ts‘u’,,藏身之處,,3,,TRUE
Abri,sm,à l’Abri du vent.,避风，躲避处,pei’ fong,,背風,,3,,TRUE
Abri,sm,à l’Abri du vent.,避风，躲避处,bi’ fong,,避風,,3,,TRUE
Abri,sm,à l’Abri du danger(être en？n).,不受侵袭,ts‘éh ze’ ngoei ’hié ’tsé,,出是危險者,,3,,TRUE
Abricot,sm,,杏子,hang’ ’tse,,杏子,,3,待定 杏聲調,TRUE
Abricotier,sm,,杏树,hang’ ’zu,,杏樹,,4,,TRUE
Abriter,va,Couvrir.,庇护,kai’ ’la laong’,,蓋拉上,,4,,TRUE
Abriter,va,Couvrir.,庇护,tsouo k‘i lai,tsouo ’k‘i lai,遮起來,,4,,TRUE
Abriter,va,Garantir,保护,’pao wou’,,保護,,4,,TRUE
Abriter,va,S’Abriter contre la pluie.,挡雨，挡风，遮阳,t‘aong ’yu,,擋雨,[湯手]雨,4,,TRUE
Abriter,va,S’Abriter contre le vent.,挡雨，挡风，遮阳,t‘aong fong,,擋風,[湯手]風,4,,TRUE
Abriter,va,S’Abriter contre le soleil.,挡雨，挡风，遮阳,tsouo gnéh deû,,遮日頭,,4,,TRUE
Abroger.,va,,废除，撤销,kah t‘éh,,革脱,,4,,TRUE
Abroger.,va,,废除，撤销,zu t‘éh,,除脱,,4,,TRUE
Abrupt.,adj,,陡峭，险峻,zè,,巉,,4,,TRUE
Abruptir.,va,,使糊涂,’za gnen hoen mi,’za ngen h‘oen mi,惹人昏迷,,4,原作“惹人惛迷”,TRUE
Abruptir.,va,,使糊涂,kao’ wa’ gnen,,教壞人,,4,,TRUE
Abrutissant,,[travail].,使人昏头昏脑,long teh gnen m zen se,long’ teh gnen m zen se,弄得人無神思,弄得人嘸神思,4,,TRUE
Absence,sf,(avoir une).,心不在焉,sin véh léh ’la,,心勿垃拉,,4,,TRUE
Absent,va,(de la maison).,不在家，不在场,véh ’la ôh ’li,,勿拉屋裏,,4,,TRUE
Absent,va,(de la maison).,不在家，不在场,véh léh ’la,,勿垃拉,,4,,TRUE
Absenter.,vr,(S’).,不在，离家,ts‘éh k‘i’ ’la,,出去拉,,4,,TRUE
Absenter.,vr,Impossible de s’Absenter.,抽不出身,li véh k‘ai,,離勿開,,4,,TRUE
Absenter.,vr,Impossible de s’Absenter.,抽不出身,’tseû véh ts‘éh,,走勿出,,4,,TRUE
Absinthe,sf,,艾蒿,ngai’,,艾,,4,,TRUE
Absolu,adj,Être Absolu.,绝对的,ze’ yeû ke’,ze’ ’yeû ke’,自有个,,4,,TRUE
Absolument,adv,,必定，一定,’tsong,,總,,4,,TRUE
Absolument,adv,,必定，一定,p‘ié,,偏,,4,,TRUE
Absolument,adv,,必定，一定,’pè,,板,,4,,TRUE
Absolument,adv,Au plus haut degré.,绝对地，完全地,zéh fen,,十分,,4,,TRUE
Absolument,adv,Indispensablement.,不可避免地，必然地,ding’ kié’,,定見,,4,,TRUE
Absolution,,——,免诉，释放,souo’,,赦,,4,,TRUE
Absolution,,recevoir l’Absolution(C).,赦免，恕罪,teh zah souo’ zu’,,得着赦罪,,4,,TRUE
Absorber,va,Avaler.,吞，咽,yé’ ’hao k‘i’,,咽下去,,4,,TRUE
Absorber,va,Avaler.,吞，咽,t‘en,,吞,,4,,TRUE
Absorber,va,Dépenser.,耗尽,yong’ koang,,用光,,4,,TRUE
Absoudre,,un accusé.,断人无罪，免诉,teu’ gnen m zu’,,斷人無罪,斷人嘸罪,4,,TRUE
Absoudre,,Absoudre un pénitent(C).,赦罪,souo’ zu’,,赦罪，,,4,,TRUE
Absoudre,,Absoudre un pénitent(C).,赦罪,zié souo’,,全赦,,4,,TRUE
Absoute,sf,Faire l’Absoute(C).,追思祷告,tsou’ tsu se,,做追思,,4,,TRUE
Abstème,,,戒酒者,véh k‘ieh ’tsieoû ke’,véh k‘ieh ’tsieû ke’,勿吃酒个,,4,,TRUE
Abstenir,,Se priver de.,戒除,ka’,,戒,,4,,TRUE
Abstenir,,Se priver de.,戒除,ghi’,,忌,,4,,TRUE
Abstenir,,S’empêcher de.,节制，克制,’zen nai,’zen nai’,忍耐,,4,,TRUE
Abstinence,sf,(faire).,戒除，节制,seû tsa,,守齋,,4,,TRUE
Abstinence,sf,(faire).,戒除，节制,ghi’ ’k‘eû,ghi’ ’k‘eû,忌口,,4,,TRUE
Abstinence,sf,Faire Abstinence(C).,斋戒,seû ’siao tsa,’seû ’siao tsa,守小齋,,4,,TRUE
Abstinence,sf,Jours d’Abstinence(C).,斋期,tsa ghi,,齋期,,4,,TRUE
Abstinence,sf,Abstinence publique(m.à.m.défendre de tuer).,全面禁宰,teu’ dou,,斷屠,,4,,TRUE
Abstraction,,faite de.,不考虑，撇开，不谈,t‘éh k‘ong,,脱空,,4,法语faite疑应为faire。,TRUE
Abstraction,,faite de.,不考虑，撇开，不谈,zu k‘eû’,,除扣,,,,TRUE
Abstraction,,Se perdre dans les Abstraction.,空想，沉思,k‘ong ’siang deû,,空想頭,,4,,TRUE
Abstrus,sdj,,难懂的，深奥的,nè ’tong ke’,,難懂个,,4,,TRUE
Absurde,adj,,荒谬的，愚蠢的，违背逻辑的,wou dou ke’,,糊塗个,,4,,TRUE
Absurde,adj,,荒谬的，愚蠢的，违背逻辑的,bé’ ’li ke’,,叛理个,,,,TRUE
Absurdité,sf,,荒唐话,wou wo’,,糊話,,4,,TRUE
Abus,sm,,恶习，流弊,wa’ fong zôh,,壞風俗,,5,,TRUE
Abus,sm,——,滥用,véh tsao’ koei ’kiu,,勿照規矩,,5,,TRUE
Abuser,vn,Mal user.,滥用，妄用,waong’ yong’,,忘用,妄用,5,,TRUE
Abuser,vn,Mal user.,滥用，妄用,hèh fi’,h‘èh fi’,瞎費,,5,,TRUE
Abuser,vn,Abuser des bienfaits.,辜恩负义,kou en wou’ gni’,,辜恩負義,,5,,TRUE
Abuser,vn,Abuser des bienfaits.,辜恩负义,kou wou’ en tié’,kou wou’ en ’tié,辜負恩典,,5,,TRUE
Abuser,va,Tromper Abuser.,欺骗，愚弄,’hong p‘ié’,,哄騙,,5,待定 哄聲調,TRUE
Abuser,va,Tromper Abuser.,欺骗，愚弄,keû ’yen,,勾引,,5,,TRUE
Abuser,vn,S’Abuser soi-même.,自欺,ze’ ka p‘ié’ ze’ ka,,自家騙自家,,5,,TRUE
Abusif,adj,C’est Abusif.,这是违犯规矩的,di’ ke’ ze’ ’vè koei ’kiu ke’,,第个是犯規矩个,,5,,TRUE
Acabit,sm,(de même).,种类，性质,ih ’teng,,一等,,5,,TRUE
Acabit,sm,(de même).,种类，性质,ih yang’,,一樣,,5,,TRUE
Académicien.,sm,1er-.,翰林,heu’ lin,,翰林,,5,,TRUE
Académicien.,sm,1er-.,状元,zaong’ gneu,,狀元,,5,,TRUE
Académie,sf,,翰林院,heu’ lin yeu’,,翰林院,,5,,TRUE
Acajou,sm,,桃花心木,dao h‘ouo sin moh,,桃花心木,,5,,TRUE
Acariâtre.,adj,,爱争吵的，脾气坏的，暴躁的,bao’ tsao ’sing’,bao’ tsao’ sing’,暴躁性,,5,,TRUE
Acariâtre.,adj,,爱争吵的，脾气坏的，暴躁的,lèh ’seû,,辣手,,5,,TRUE
Acariâtre.,adj,,爱争吵的，脾气坏的，暴躁的,p‘éh ’gnu gnen,,潑女人,,5,,TRUE
Acarus,sm,,疥虫,kè’ zong,,疥虫,,5,保留簡體,TRUE
Accablant,adj,Lourd.,沉重的，难以支持的,zong’ ke’,,重个,,5,待定 重聲調,TRUE
Accablant,adj,Lourd.,沉重的，难以支持的,nè taong ke’,,難當个,,5,,TRUE
Accablant,adj,"Pénible,insupportable.",难以忍受的,nai véh ’k‘i ke’,nai’ véh ’k‘i ke’,耐勿起个,,5,,TRUE
Accablé,,(de besogne).,不堪忍受的，难熬的，过度负重的,maong(vè)lai ’ya,,忙（煩）來野,,5,,TRUE
Accablé,,Accablé de coups et d’injures.,被侵害,zeû’ ’tang,,受打,,5,待定 受聲調,TRUE
Accablé,,Accablé de coups et d’injures.,被侵害,zeû zôh,zeû’ zôh,受辱,,5,,TRUE
Accabler,va,,施重压，压倒，制服,k‘èh ’tao,,壓倒,？倒,5,,TRUE
Accabler,va,,施重压，压倒，制服,ba’,,敗,,5,,TRUE
Accaparer,,la clientèle.,大量收购，囤积居奇,’ts‘iang ’ma,,搶買,,5,,TRUE
Accaparer,,la clientèle.,大量收购，囤积居奇,’ts‘iang sang i’,,搶生意,,5,,TRUE
Accéder à,vn,,同意，允许,i,,依,,5,,TRUE
Accéder à,vn,,同意，允许,’yun,,允,,5,,TRUE
Accéder à,vn,,同意，允许,’yun ’hiu,,允許,,5,,TRUE
Accéléré,adj,,加速的，高速的，快速的,k‘oa’,,快,,5,,TRUE
Accélérer,va,,快一点！赶紧！,ts‘u kiéh,,催急,,5,,TRUE
Accélérer,va,,快一点！赶紧！,’keu ’kien,,赶緊,,5,保留簡體,TRUE
Accent,sm,,声调,seng yen,,聲音,,5,,TRUE
Accent,sm,Accent Il y a 2 classes d’Accent:,平声,bing seng,,平聲,,5,,TRUE
Accent,sm,Accent Il y a 2 classes d’Accent:,仄声,tsah seng,,仄聲,,5,,TRUE
Accent,sm,la 1ère comprenant:,阴平,’zang bing,,上平,,5,,TRUE
Accent,sm,la 1ère comprenant:,阳平,’ya bing,,下平,,5,,TRUE
Accent,sm,et la 2ème comprenant:,上声,’zang seng,,上聲,,5,,TRUE
Accent,sm,et la 2ème comprenant:,去声,k‘iu’ seng,,去聲,,5,,TRUE
Accent,sm,et la 2ème comprenant:,入声,zéh seng,,入聲,,5,,TRUE
Accent,sm,Accent de douleur.,痛苦的声调,ai t‘ong’ ke’ seng yen,,哀痛个聲音,,5,,TRUE
Accent,sm,Accent Prononciation particulière.,口音，乡土音,’k‘eû yen,,口音,,5,,TRUE
Accent,sm,Accent Prononciation particulière.,口音，乡土音,’t‘ou yen,,土音,,5,,TRUE
Accentuer,,les mots.,分平仄,fen bing tsah,,分平仄,,5,,TRUE
Accentuer,,Accentuer les sentiments.,强调意见,tè i’ se tèh ts‘éh lai,tè i’ se dèh ts‘éh lai,担意思達出來,,5,,TRUE
Acceptable,adj,Convenable.,适当的,’k‘o ’i,,可以,,5,,TRUE
Acceptable,adj,Recevable.,可接受的,’k‘o ’i zeû’ ke’,,可以受个,,5,,TRUE
Accepter,va,,接受,seû ’ling,,收領,,5,,TRUE
Accepter,va,,接受,seû zeû’,,收受,,5,,TRUE
Accepter,va,Recevoir.,领受,’ling zing,,領情,,5,,TRUE
Accepter,va,Supporter.,经受,zing gneu zeû’,zing gneu’ zeû’,情願受,,5,,TRUE
Accepter,va,Agréer.,甘于,ké sin zeû’,,甘心受,,6,,TRUE
Accepter,va,Accepter une faveur.,领情,’ling zing,,領情,,6,,TRUE
Acception,sf,,偏爱,’yeû se sin,,有私心,,6,,TRUE
Acception,sf,Faire Acception de personnes.,偏袒某人,’yeû se zing,,有私情,,6,,TRUE
Acception,sf,Ne pas faire Acception.,至公无私,tse’ kong wou se,,至公無私,,6,,TRUE
Acception,sf,Ne pas faire Acception.,至公无私,véh gnang’ mié’ zing,,勿讓面情,,6,,TRUE
Acception,sf,Ne pas faire Acception.,至公无私,t‘ih mié’ wou zin,,鉄面無情,,6,保留簡體,TRUE
Acception,sf,Sens:Ce caractère a plusieurs Acception.,这个字有几种释义,di’ ke’ ze’ ’yeû tou ’h‘ao ’ka seh,,第个字有多好解説,,6,,TRUE
Accès.,sm,Il cherche un Accès dans la place.,他在找一条入口,i ’la zin ih diao tsin’ lou’,,伊拉尋一條進路,,6,,TRUE
Accès.,sm,Accès de fièvre.,发烧,fèh ih ke’ h‘eu gnéh,fèh ih ke’ heu gnéh,發一个寒熱,,6,,TRUE
Accès.,sm,Accès de colère.,发怒,sen ih wei ’h‘ou,,伸一回火,,6,,TRUE
Accessible,,(personne).,平易近人,’h‘ao bah‘ wo’ ke’,’h‘ao bah wo’ ke’,好白話个,,6,,TRUE
Accessible,,(personne).,平易近人,k‘ao’ teh zaong’ ke’,,靠得上个,,6,,TRUE
Accessible,,(endroit)v.g.entrée Accessible.,可进入的，可达到的,’h‘ao tsin’ k‘i’ ke’,,好進去个,,6,,TRUE
Accessible,,(endroit)v.g.entrée Accessible.,可进入的，可达到的,ghien’ teh zaong’ ke’,,近得上个,,6,待定 近聲調,TRUE
Accessit,sm,,附录,wou’ lôh,,附録,,6,,TRUE
Accessoire,adj,C’est Accessoire.,这完全是无关紧要的,si si ’siao ze’,,些些小事,,6,,TRUE
Accident,,Accident(Malheur).,意外事故,ts‘éh yu i’ wai’ ke’,,出于意外个,,6,,TRUE
Accident,,Accident(Malheur).,意外事故,’siang véh tao’ ke’ wou wè,’siang véh tao’ ke’ wou’ wè’,想勿到个禍患,,6,待定 禍聲調,TRUE
Accidenté,adj,,高低不平,kao kao ti ti,,高高低低,,6,,TRUE
Accidenté,adj,Terrain Accidenté.,高低不平的地面,ts‘ih kao pèh ti,,七高八低,,6,,TRUE
Accidentel,adj,,偶然的，意外的,’ngeû zé ke’,,偶然个,,6,,TRUE
Accidentellement,adv,,偶然的，意外地,’ngeû zé kè,,偶然間,,6,,TRUE
Accidentellement,adv,,偶然的，意外地,’siang véh tao’,,想勿到,,6,,TRUE
Acclamer,va,,一致欢呼推选,zi seng ’pao ’kiu,,齊聲保舉,,6,,TRUE
Acclimater,vr,(s’).,使服水土,woh ’se ’t‘ou,,服水土,,6,,TRUE
Accointance,sf,,经常来往,’waong lai,,往來,,6,,TRUE
Accoler,va,,使连结,ling’ t‘ié’,ling’ t‘ié,另添,,6,,TRUE
Accoler,va,,使连结,ling’ t‘ih,,另貼,,6,,TRUE
Accoler,va,,使连结,’bao deû keû kieng’,,抱頭鈎頸,抱頭？頸,6,待定 頸聲調,TRUE
Accommodant,adj,,和气，通融，随和,wou k‘i’,,和氣,,6,,TRUE
Accommodant,adj,,和气，通融，随和,yeu yong,,圓容,,6,,TRUE
Accommodant,adj,,和气，通融，随和,yeu ’tsé,,圓轉,,6,,TRUE
Accommodement,sm,,和解，调和，妥协,’kaong wou,,講和,,6,,TRUE
Accommodement,sm,,和解，调和，妥协,wo’ wou,,話和,,6,,TRUE
Accommodement,sm,Écrire un Accommodement.,和官司,wou koé se,,和官司,,6,,TRUE
Accommoder,va,,使适应，使适合,bié’ taong’,,便當,,6,,TRUE
Accommoder,va,,使适应，使适合,tei’ kieng’,,對勁,,6,,TRUE
Accommoder,va,Disposer.Mettre en bon état.,整理，布置,eu ba,,安排,,6,,TRUE
Accommoder,va,Disposer.Mettre en bon état.,整理，布置,’tseng zi,,整齊,,6,,TRUE
Accommoder,va,Arranger à l’amiable.,使和解，调解，调停,diao ding,,調停,,6,,TRUE
Accommoder,va,Arranger à l’amiable.,使和解，调解，调停,’kaong wou,,講和,,6,,TRUE
Accommoder,va,S’Accommoder(se contenter de).,将就，凑合,tsiang zieû’ ’la,,將就拉,,6,,TRUE
Accommoder,va,Se conformer à.,顺从，适应,zen’ zong,,順從别人意見,,7,,TRUE
Accommoder,va,S’Accommoder  aux circonstances.,随机应变,zu ki yeng’ pié’,,隨機應變,,7,待定 應聲調,TRUE
Accommoder,va,Accommoder à la convenance de qqn.,依他，随便他,zieû’ i,,就伊,,7,,TRUE
