vocabulary,originalEntry,explanation,example,pinYin,location,place,source,toggle,whichCounty,whichTown
啀(啀),啀,啃咬，如啀肉骨头（啃咬，如啀肉骨頭）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
矮墩墩(矮墩墩),矮墩墩,矮而壮实（矮而壯實）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
暗勃胧憧(暗勃朧憧),暗勃朧憧,暗而行为不便（暗而行爲不便）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
暗促促(暗促促),暗促促,①较暗黑。②隐秘（①較暗黑。②隱秘）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
暗促促(暗促促),暗促促,极黑（極黑）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
暗洞洞(暗洞洞),暗洞洞,暗中有微光（暗中有微光）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
昂蛄(昂蛄),昂蛄,蜗牛（蝸牛）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
爊料(爊料),爊料,调味品及佐料（調味品及佐料）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
熬食(熬食),熬食,馋嘴（饞嘴）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
熬勿得(熬勿得),熬勿得,忌妒（忌妒）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
拗春(拗春),拗春,初春突变冷天（初春突變冷天）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
拗襻杯(拗襻杯),拗鋬杯,有耳形环柄的杯子（有耳形環柄的杯子）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
懊口作舌(懊口作舌),懊口作舌,诬害他人（誣害他人）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
懊憦(懊憦),懊嘮,懊悔（懊悔）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
懊麻肉痛(懊麻肉痛),懊麻肉痛,事后心疼（事後心疼）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
懊麻痛(懊麻痛),懊罵痛,事后懊悔、舍不得、心痛（事後懊悔、捨不得、心痛）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
八角卵子(八角卵子),八角卵子,精明又凶蛮的人（精明又凶蠻的人）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
八角卵子(八角卵子),八角亂子,捣蛋鬼（搗蛋鬼）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
八节米(八節米),八結米、搭米,玉米（玉米）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
八姆淘里(八姆淘裏),伯姆道裏,妯娌间（妯娌間）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
巴结(巴結),把結,勤快（勤快）,推薦寫法爲“巴結”,拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
把家(把家),把家,①管理主持;②节俭（①管理主持;②節儉）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
把脉(把脈),把脈,①号脉;②比喻分析、把关事由，如请老法师把脉（①號脈;②比喻分析、把關事由，如請老法師把脈）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
罢勿过(罷勿過),罷勿過,免不了（免不了）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
白白里(白白裏),白白裏,呒效果、徒劳、无用（嘸效果、徒勞、無用）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
白花(白花),白花,说谎（說謊）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
白话(白話),白話,说话（另：白说） （說話（另：白說））,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
白绒霜(白絨霜),白絨霜,重霜（重霜）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
白送(白送),白送,不济事（不濟事）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
白塌塌(白塌塌),白塔塔,白而无光（白而無光）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
白乌龟(白烏龜),白烏龜,白鹅（白鵝）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
白云耳(白雲耳),白芋尼、黑芋尼,白木耳、黑木耳（白木耳、黑木耳）,白雲耳、黑雲耳,拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
白字(白字),白字,别字（別字）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
百有份(百有份),百有份,样样有份（樣樣有份）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
摆拆煞(擺拆煞),擺拆煞,（詈言）厌食而骂山门（（詈言）厭食而罵山門）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
摆拆煞(擺拆煞),擺赤煞,用餐（贬义） （用餐（貶義））,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
搬户荡(搬戶蕩),搬湖蕩,搬地方（搬地方）,推薦寫法爲“搬戶蕩”,拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
搬嘴弄舌(搬嘴弄舌),搬嘴弄舌,搬弄是非（搬弄是非）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
板丝烟筒(板絲煙筒),板絲煙筒,烟斗（煙斗）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
板扎(板扎),板紮,牢固（牢固）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
板扎(板扎),板紮,坚固（堅固）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
板扎(板扎),紮板、板紮,牢固（牢固）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
半吊子(半吊子),半吊子,不内行的人，搬弄是非的人（不內行的人，搬弄是非的人）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
半夜把(半夜把),半夜把,午夜（午夜）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
蚌壳刮，木勺搳(蚌殼刮，木勺搳),蚌殼刮，木勺搳,积蓄辛苦点点得来，花费大把大把出去（積蓄辛苦點點得來，花費大把大把出去）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
蚌壳棉鞋(蚌殼棉鞋),蚌殼棉鞋,鞋帮形似蚌壳的棉鞋（鞋幫形似蚌殼的棉鞋）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
北首(北首),北首,方向北，讲“东、南、西”方向时也带“首”字（方向北，講“東、南、西”方向時也帶“首”字）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
孛萄(孛萄),孛萄,葡萄（葡萄）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
孛相干(孛相干),白相幹,玩具、玩物（玩具、玩物）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
孛相干(孛相干),白相干,玩具（玩具）,推薦寫法爲“孛相幹”,拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
孛相心(孛相心),白相心,玩的兴趣劲头（玩的興趣勁頭）,孛相心,拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
被絮(被絮),被絮,棉花胎（棉花胎）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
鐾光石卵子(鐾光石卵子),鐾光石卵子,为人刁钻圆滑（爲人刁鑽圓滑）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
坌地(坌地),錛地,铁鎝翻土（鐵鎝翻土）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
鼻头(鼻頭),鼻頭,鼻子（鼻子）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
碧碧绿(碧碧綠),碧碧綠,极绿雪雪白（極綠雪雪白）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
碧绿生青(碧綠生青),碧綠桑青,（指植物）青绿带水气（（指植物）青綠帶水氣）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
碧绿生青(碧綠生青),碧綠生青,绿得有生气（綠得有生氣）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
扁担绳(扁擔繩),扁擔繩,挑担用的各种扁担、绳子（挑擔用的各種扁擔、繩子）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
扁塌塌(扁塌塌),扁塌塌,扁而可爱（扁而可愛）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
别人家(別人家),別人家,别人（別人）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
别勿转(別勿轉),別勿轉,不领会、实在搞不懂（不領會、實在搞不懂）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
蹩(蹩),蹩,不好、不强、差劲（不好、不強、差勁）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
冰胶(冰膠),冰膏,结冰（結冰）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
并拔(併拔),併拔,化零为整（化零爲整）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
病闿闿(病闿闿),病闿闿,身体虚弱（身體虛弱）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
伯伯(伯伯),伯伯,父之姐（父之姐）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
伯伯、老伯伯、大伯伯（年龄最大的）(伯伯、老伯伯、大伯伯（年齡最大的）),伯伯、老伯伯、大伯伯（年齡最大的）,伯父（伯父）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
勃(勃),勃,转、别，如头勃过来，身体勃转来（轉、別，如頭勃過來，身體勃轉來）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
勃勃跤(勃勃跤),勃勃跤,小孩摔跤（小孩摔跤）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
勃愣墩(勃愣墩),勃圇墩,红肿以至化脓疖子（紅腫以至化膿癤子）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
博(博),博,拼著干（拼著幹）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
篰(篰),篰,底方口圆较髙大竹制盛器（底方口圓較髙大竹制盛器）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
嚓轰嚓轰(嚓轟嚓轟),嚓轟嚓轟,参与百事而爱好走动，如他们嚓轰嚓轰又去逛超市了（參與百事而愛好走動，如他們嚓轟嚓轟又去逛超市了）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
猜密谜子(猜密謎子),猜密謎子,猜谜语（猜謎語）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
蚕宝宝(蠶寶寶),蠶寶寶,蚕幼虫（蠶幼蟲）,[zɛ ʔbɔ ʔbɔ],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
草纸(草紙),搓紙,便纸（便紙）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
插朴(插樸),插樸,接通电源的插头（接通電源的插頭）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
茶淘饭(茶淘飯),茶淘飯,冲入茶水的饭（沖入茶水的飯）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
拆贡老头星(拆貢老頭星),拆拱老頭星,完了、完蛋（完了、完蛋）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
拆监(拆監),拆監,拆台（拆臺）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
拆尿(拆尿),赤水,小便（小便）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
拆棚脚(拆棚腳),拆棚腳,捣蛋（搗蛋）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
拆棚脚(拆棚腳),拆棚腳,①捣蛋;②不合作（①搗蛋;②不合作）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
拆七(拆七),拆七,不懂事的女孩（不懂事的女孩）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
拆蚀(拆蝕),拆蝕,破费（破費）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
拆蚀(拆蝕),拆蝕,破费（破費）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
搀(攙),攙,扶、推，如帮老太太搀一把，帮人力车搀一把（扶、推，如幫老太太攙一把，幫人力車攙一把）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
谗叽(讒嘰),饞嘰,话多（話多）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
谗叽(讒嘰),饞譏,话特多（話特多）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
馋痨(饞癆),饞佬,贪吃（貪吃）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
缠头额颈(纏頭額頸),纏頭額頸,怪态（怪態）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
缠头势(纏頭勢),纏頭勢,①纠缠劲足；②难解的事（①糾纏勁足；②難解的事）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
铲(鏟),闡,骂（罵）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
场化(場化),場化,地方，如侬到啥场化去（地方，如儂到啥場化去）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
唱山歌(唱山歌),唱山歌,①唱民歌；②心不在焉念书或说话；③多次反复讲同样内容的话（①唱民歌；②心不在焉念書或說話；③多次反復講同樣內容的話）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
抄钎(抄釺),抄釺,抄平沟底的铁抄（抄平溝底的鐵抄）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
潮叽叽(潮嘰嘰),潮嘰嘰,半干有湿气（半幹有濕氣）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
潮头囝(潮頭囝),朝頭囡,发育期的孩子（發育期的孩子）,推薦寫法爲“潮頭囡”,拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
车扁鱼(車扁魚),車扁魚,鲳鱼（鯧魚）,[tɕʰiɔ ʔbiŋ],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
车田(車田),車田,待栽稻秧地块耕翻、耙碎、划平的统称（待栽稻秧地塊耕翻、耙碎、劃平的統稱）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
辰光(辰光),辰光,时间、日期（時間、日期）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
撑洋棒(撐洋棒),撐楊棒,拐杖（拐杖）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
成夜无知(成夜無知),成夜無知,糊涂（糊塗）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
吃(吃),吃,进食（進食）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
吃茶(吃茶),吃茶,喝熟水或茶水（喝熟水或茶水）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
吃豆腐(吃豆腐),吃豆腐,①猥亵（侮辱）妇女;②挑逗性的言行;③赴丧筵（①猥褻（侮辱）婦女;②挑逗性的言行;③赴喪筵）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
吃饭(吃飯),吃飯,吃中饭。吃早、晚饭，必叫早、晚两字。（意思是吃饭特指吃中饭。） （吃中飯。吃早、晚飯，必叫早、晚兩字。（意思是吃飯特指吃中飯。））,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
吃酒(吃酒),吃酒,喝酒（喝酒）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
吃亏(吃虧),吃區,吃亏（吃虧）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
吃亏(吃虧),吃取,吃亏（吃虧）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
吃排头(吃排頭),吃牌頭,挨批评（挨批評）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
吃水(吃水),吃水,喝生水（喝生水）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
吃勿落去(吃勿落去),吃勿落起,事情做不来、摆不平（事情做不來、擺不平）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
